individual,population
EURanc_NA11892,EURanc
EURanc_NA06989,EURanc
EURanc_HG00255,EURanc
EURanc_NA20785,EURanc
EURanc_NA12400,EURanc
EURanc_HG01771,EURanc
EURanc_NA20527,EURanc
EURanc_HG01522,EURanc
EURanc_HG00259,EURanc
EURanc_NA20586,EURanc
EURanc_NA20762,EURanc
EURanc_HG01789,EURanc
EURanc_NA20796,EURanc
EURanc_NA20525,EURanc
EURanc_HG02224,EURanc
EURanc_NA20540,EURanc
EURanc_NA12282,EURanc
EURanc_HG01709,EURanc
EURanc_HG01631,EURanc
EURanc_NA07037,EURanc
EURanc_HG01679,EURanc
EURanc_NA20539,EURanc
EURanc_NA20585,EURanc
EURanc_NA20531,EURanc
EURanc_NA20772,EURanc
EURanc_NA12842,EURanc
EURanc_NA20790,EURanc
EURanc_NA20543,EURanc
EURanc_HG01765,EURanc
EURanc_NA12144,EURanc
EURanc_HG00353,EURanc
EURanc_HG00237,EURanc
EURanc_NA12043,EURanc
EURanc_NA12718,EURanc
EURanc_NA12004,EURanc
EURanc_HG00141,EURanc
EURanc_NA06985,EURanc
EURanc_HG00101,EURanc
EURanc_NA11829,EURanc
EURanc_HG00126,EURanc
EURanc_NA20761,EURanc
EURanc_HG00234,EURanc
EURanc_HG01515,EURanc
EURanc_HG00112,EURanc
EURanc_HG00127,EURanc
EURanc_NA12878,EURanc
EURanc_HG00145,EURanc
EURanc_HG00233,EURanc
EURanc_NA07048,EURanc
EURanc_NA20514,EURanc
EURanc_HG00123,EURanc
EURanc_HG00128,EURanc
EURanc_HG00131,EURanc
EURanc_NA20764,EURanc
EURanc_NA20506,EURanc
EURanc_NA20767,EURanc
EURanc_HG01702,EURanc
EURanc_NA07357,EURanc
EURanc_HG00157,EURanc
EURanc_NA20532,EURanc
EURanc_NA12347,EURanc
EURanc_NA20530,EURanc
EURanc_NA12154,EURanc
EURanc_NA20797,EURanc
EURanc_NA20807,EURanc
EURanc_NA20753,EURanc
EURanc_HG01768,EURanc
EURanc_NA20502,EURanc
EURanc_HG01790,EURanc
EURanc_NA11893,EURanc
EURanc_HG00242,EURanc
EURanc_NA20827,EURanc
EURanc_NA20533,EURanc
EURanc_HG01746,EURanc
EURanc_HG00107,EURanc
EURanc_HG01518,EURanc
EURanc_HG02220,EURanc
EURanc_HG00231,EURanc
EURanc_NA12829,EURanc
EURanc_HG00238,EURanc
EURanc_HG01625,EURanc
EURanc_NA12045,EURanc
EURanc_NA20508,EURanc
EURanc_HG00140,EURanc
EURanc_HG01607,EURanc
EURanc_HG00151,EURanc
EURanc_NA11931,EURanc
EURanc_HG01606,EURanc
EURanc_NA20509,EURanc
EURanc_NA11933,EURanc
EURanc_HG02219,EURanc
EURanc_NA12775,EURanc
EURanc_NA12778,EURanc
EURanc_NA20758,EURanc
EURanc_NA20799,EURanc
EURanc_HG00106,EURanc
EURanc_NA20524,EURanc
EURanc_HG00186,EURanc
EURanc_HG00118,EURanc
EURanc_NA12003,EURanc
EURanc_HG00136,EURanc
EURanc_NA20798,EURanc
EURanc_HG00143,EURanc
EURanc_HG00114,EURanc
EURanc_NA12340,EURanc
EURanc_NA07056,EURanc
EURanc_NA12815,EURanc
EURanc_HG01619,EURanc
EURanc_HG00178,EURanc
EURanc_HG00264,EURanc
EURanc_HG01615,EURanc
EURanc_NA20757,EURanc
EURanc_NA12812,EURanc
EURanc_NA12762,EURanc
EURanc_HG01756,EURanc
EASanc_NA18648,EASanc
EASanc_HG02356,EASanc
EASanc_HG00608,EASanc
EASanc_HG02182,EASanc
EASanc_NA18952,EASanc
EASanc_NA18625,EASanc
EASanc_NA18987,EASanc
EASanc_HG02180,EASanc
EASanc_HG02151,EASanc
EASanc_HG00656,EASanc
EASanc_NA18570,EASanc
EASanc_HG00452,EASanc
EASanc_HG00531,EASanc
EASanc_HG00583,EASanc
EASanc_HG02086,EASanc
EASanc_NA18617,EASanc
EASanc_NA19006,EASanc
EASanc_HG02398,EASanc
EASanc_NA18565,EASanc
EASanc_NA18747,EASanc
EASanc_HG00543,EASanc
EASanc_HG00542,EASanc
EASanc_NA18959,EASanc
EASanc_NA18530,EASanc
EASanc_NA18946,EASanc
EASanc_HG02035,EASanc
EASanc_HG00654,EASanc
EASanc_NA18954,EASanc
EASanc_NA18561,EASanc
EASanc_HG00692,EASanc
EASanc_NA18567,EASanc
EASanc_HG02155,EASanc
EASanc_HG02019,EASanc
EASanc_NA18745,EASanc
EASanc_NA18970,EASanc
EASanc_NA19060,EASanc
EASanc_NA18563,EASanc
EASanc_HG02399,EASanc
EASanc_HG01845,EASanc
EASanc_NA18956,EASanc
EASanc_HG00629,EASanc
EASanc_HG02355,EASanc
EASanc_HG00428,EASanc
EASanc_HG00717,EASanc
EASanc_HG00472,EASanc
EASanc_HG02134,EASanc
EASanc_NA18964,EASanc
EASanc_HG00684,EASanc
EASanc_HG01801,EASanc
EASanc_NA18991,EASanc
EASanc_NA19009,EASanc
EASanc_HG01874,EASanc
EASanc_HG02121,EASanc
EASanc_HG01797,EASanc
EASanc_HG01859,EASanc
EASanc_NA18968,EASanc
EASanc_HG00607,EASanc
EASanc_HG00598,EASanc
EASanc_NA18546,EASanc
EASanc_HG00446,EASanc
EASanc_HG01029,EASanc
EASanc_HG00536,EASanc
EASanc_HG02084,EASanc
EASanc_NA18615,EASanc
EASanc_NA18632,EASanc
EASanc_HG00626,EASanc
EASanc_HG00663,EASanc
EASanc_NA19072,EASanc
EASanc_HG00650,EASanc
EASanc_NA18985,EASanc
EASanc_NA18542,EASanc
EASanc_NA18595,EASanc
EASanc_HG00729,EASanc
EASanc_HG02179,EASanc
EASanc_NA19065,EASanc
EASanc_HG02364,EASanc
EASanc_HG02152,EASanc
EASanc_NA18980,EASanc
EASanc_HG01806,EASanc
EASanc_NA18609,EASanc
EASanc_NA18939,EASanc
EASanc_NA19005,EASanc
EASanc_HG02185,EASanc
EASanc_HG02396,EASanc
EASanc_HG00672,EASanc
EASanc_NA19070,EASanc
EASanc_HG00623,EASanc
EASanc_HG00533,EASanc
EASanc_NA18947,EASanc
EASanc_HG00614,EASanc
EASanc_HG00407,EASanc
EASanc_HG00442,EASanc
EASanc_HG02156,EASanc
EASanc_HG00410,EASanc
EASanc_HG00592,EASanc
EASanc_NA18949,EASanc
EASanc_HG00611,EASanc
EASanc_NA18645,EASanc
EASanc_HG02032,EASanc
EASanc_HG00653,EASanc
EASanc_HG00422,EASanc
EASanc_HG01843,EASanc
EASanc_NA18582,EASanc
EASanc_NA19010,EASanc
EASanc_NA18532,EASanc
EASanc_HG02186,EASanc
EASanc_NA18525,EASanc
EASanc_HG00565,EASanc
EASanc_NA19062,EASanc
EASanc_HG02139,EASanc
EASanc_NA18638,EASanc
EASanc_NA18566,EASanc
EASanc_NA18966,EASanc
EASanc_HG01597,EASanc
EASanc_NA18981,EASanc
EASanc_HG01815,EASanc
EASanc_HG00475,EASanc
EASanc_HG01841,EASanc
EASanc_HG00628,EASanc
EASanc_NA18998,EASanc
EASanc_HG00701,EASanc
EASanc_NA19056,EASanc
EASanc_HG00622,EASanc
EASanc_HG00657,EASanc
EASanc_NA18951,EASanc
EASanc_NA18557,EASanc
EASanc_NA18643,EASanc
EASanc_HG00632,EASanc
EASanc_NA18971,EASanc
EASanc_HG00451,EASanc
EASanc_NA19001,EASanc
EASanc_HG00620,EASanc
EASanc_NA18748,EASanc
EASanc_HG00473,EASanc
EASanc_HG02391,EASanc
EASanc_HG00631,EASanc
EASanc_HG01858,EASanc
EASanc_HG02116,EASanc
EASanc_HG02078,EASanc
EASanc_HG01873,EASanc
EASanc_NA18640,EASanc
EASanc_HG02351,EASanc
EASanc_HG00610,EASanc
EASanc_HG01811,EASanc
EASanc_NA19055,EASanc
EASanc_HG02401,EASanc
EASanc_NA18547,EASanc
EASanc_HG02165,EASanc
EASanc_HG00437,EASanc
EASanc_NA18630,EASanc
EASanc_HG02389,EASanc
EASanc_NA18572,EASanc
EASanc_HG01861,EASanc
EASanc_HG02408,EASanc
EASanc_HG02070,EASanc
EASanc_NA18559,EASanc
EASanc_HG01865,EASanc
EASanc_HG00864,EASanc
EASanc_HG02164,EASanc
EASanc_HG00559,EASanc
EASanc_HG02397,EASanc
EASanc_HG00458,EASanc
EASanc_NA18644,EASanc
EASanc_HG02079,EASanc
EASanc_HG00704,EASanc
EASanc_NA18541,EASanc
EASanc_HG00707,EASanc
EASanc_HG00881,EASanc
EASanc_HG00478,EASanc
EASanc_HG02166,EASanc
EASanc_HG02184,EASanc
EASanc_HG00879,EASanc
EASanc_NA18550,EASanc
EASanc_NA18560,EASanc
EASanc_NA18593,EASanc
EASanc_NA18960,EASanc
EASanc_NA19076,EASanc
EASanc_HG02188,EASanc
EASanc_HG00513,EASanc
EASanc_HG01804,EASanc
EASanc_HG02085,EASanc
EASanc_HG02040,EASanc
EASanc_HG00662,EASanc
EASanc_HG02395,EASanc
EASanc_HG02154,EASanc
EASanc_HG02375,EASanc
EASanc_NA18637,EASanc
EASanc_HG00593,EASanc
EASanc_NA18610,EASanc
EASanc_HG02383,EASanc
EASanc_NA18957,EASanc
EASanc_HG00689,EASanc
EASanc_NA18526,EASanc
EASanc_HG00464,EASanc
EASanc_NA18999,EASanc
EASanc_HG01866,EASanc
EASanc_HG02060,EASanc
EASanc_HG02385,EASanc
EASanc_HG02181,EASanc
EASanc_HG02153,EASanc
EASanc_HG00560,EASanc
EASanc_NA18612,EASanc
EASanc_NA19057,EASanc
EASanc_HG01600,EASanc
EASanc_NA18573,EASanc
EASanc_NA18641,EASanc
EASanc_NA18977,EASanc
EASanc_NA18549,EASanc
EASanc_HG02394,EASanc
EASanc_HG01796,EASanc
EASanc_NA19086,EASanc
EASanc_NA18975,EASanc
EASanc_HG00537,EASanc
EASanc_HG00500,EASanc
EASanc_NA18624,EASanc
EASanc_HG00766,EASanc
EASanc_HG01813,EASanc
EASanc_HG02409,EASanc
EASanc_HG00693,EASanc
EASanc_HG01031,EASanc
EASanc_HG01795,EASanc
EASanc_HG01028,EASanc
EASanc_HG00524,EASanc
EASanc_HG00844,EASanc
EASanc_NA18976,EASanc
EASanc_HG02392,EASanc
EASanc_NA18969,EASanc
EASanc_HG00525,EASanc
EASanc_NA19066,EASanc
EASanc_HG01849,EASanc
EASanc_NA19089,EASanc
EASanc_HG00445,EASanc
EASanc_HG00590,EASanc
EASanc_NA19090,EASanc
EASanc_HG00457,EASanc
EASanc_HG00556,EASanc
EASanc_NA19002,EASanc
EASanc_HG01855,EASanc
EASanc_HG00867,EASanc
EASanc_HG02373,EASanc
EASanc_NA18555,EASanc
EASanc_NA18983,EASanc
EASanc_HG01871,EASanc
EASanc_HG00448,EASanc
EASanc_HG00566,EASanc
EASanc_HG01805,EASanc
EASanc_HG02407,EASanc
EASanc_NA18642,EASanc
EASanc_HG02371,EASanc
EASanc_HG00404,EASanc
EASanc_HG02360,EASanc
EASanc_HG01802,EASanc
EASanc_HG00419,EASanc
EASanc_HG02076,EASanc
EASanc_NA18942,EASanc
EASanc_HG02382,EASanc
EASanc_HG02122,EASanc
EASanc_HG00690,EASanc
EASanc_HG00580,EASanc
EASanc_HG00683,EASanc
EASanc_NA18603,EASanc
EASanc_HG01863,EASanc
EASanc_NA19054,EASanc
EASanc_NA18629,EASanc
EASanc_HG02410,EASanc
EASanc_NA18531,EASanc
EASanc_NA18552,EASanc
EASanc_NA18592,EASanc
EASanc_HG01799,EASanc
EASanc_NA19059,EASanc
EASanc_HG00449,EASanc
EASanc_HG00956,EASanc
EASanc_HG00530,EASanc
EASanc_HG00479,EASanc
EASanc_HG00675,EASanc
EASanc_HG00705,EASanc
EASanc_NA19078,EASanc
EASanc_HG00403,EASanc
EASanc_NA18953,EASanc
EASanc_NA19088,EASanc
EASanc_HG02082,EASanc
EASanc_HG02142,EASanc
EASanc_NA18562,EASanc
EASanc_NA19079,EASanc
EASanc_NA18974,EASanc
EASanc_HG02190,EASanc
EASanc_NA18579,EASanc
EASanc_HG01800,EASanc
EASanc_HG02406,EASanc
EASanc_HG00443,EASanc
EASanc_HG00619,EASanc
EASanc_HG00613,EASanc
EASanc_NA18636,EASanc
EASanc_NA19011,EASanc
EASanc_NA19007,EASanc
EASanc_HG01867,EASanc
EASanc_HG01853,EASanc
EASanc_HG02081,EASanc
EASanc_HG01840,EASanc
EASanc_HG01816,EASanc
EASanc_NA18622,EASanc
EASanc_HG00476,EASanc
EASanc_HG02137,EASanc
EASanc_HG00671,EASanc
EASanc_HG02521,EASanc
EASanc_HG01595,EASanc
EASanc_NA19063,EASanc
EASanc_NA18623,EASanc
EASanc_NA18948,EASanc
EASanc_NA18574,EASanc
EASanc_NA18611,EASanc
EASanc_NA18543,EASanc
EASanc_NA18628,EASanc
EASanc_NA18548,EASanc
EASanc_HG00708,EASanc
EASanc_HG00978,EASanc
EASanc_HG00728,EASanc
EASanc_NA19077,EASanc
EASanc_HG00599,EASanc
EASanc_HG02380,EASanc
EASanc_HG01812,EASanc
EASanc_HG01862,EASanc
EASanc_NA18993,EASanc
EASanc_HG00463,EASanc
EASanc_HG01807,EASanc
EASanc_HG02178,EASanc
EASanc_NA18973,EASanc
EASanc_NA18602,EASanc
EASanc_HG02402,EASanc
EASanc_HG02087,EASanc
EASanc_NA18591,EASanc
EASanc_NA18646,EASanc
EASanc_HG00651,EASanc
EASanc_NA18627,EASanc
EASanc_NA19091,EASanc
EASanc_NA19083,EASanc
EASanc_HG00595,EASanc
EASanc_NA18539,EASanc
EASanc_NA18544,EASanc
EASanc_NA19082,EASanc
EASanc_HG00584,EASanc
EASanc_HG02025,EASanc
EASanc_HG02140,EASanc
EASanc_NA19058,EASanc
EASanc_HG00634,EASanc
EASanc_NA18962,EASanc
EASanc_HG00534,EASanc
EASanc_HG02069,EASanc
EASanc_NA19004,EASanc
EASanc_HG01809,EASanc
EASanc_NA18613,EASanc
EASanc_HG02353,EASanc
EASanc_NA18620,EASanc
EASanc_HG02384,EASanc
EASanc_NA18536,EASanc
EASanc_HG02513,EASanc
EASanc_HG00589,EASanc
EASanc_HG00982,EASanc
EASanc_NA19064,EASanc
EASanc_HG01808,EASanc
EASanc_NA18545,EASanc
EASanc_HG01596,EASanc
EASanc_NA19081,EASanc
EASanc_NA18635,EASanc
EASanc_NA18997,EASanc
EASanc_NA18596,EASanc
EASanc_HG02374,EASanc
EASanc_HG02130,EASanc
EASanc_NA18631,EASanc
EASanc_HG01599,EASanc
EASanc_HG00698,EASanc
EASanc_NA18967,EASanc
EASanc_NA18945,EASanc
EASanc_NA18633,EASanc
EASanc_HG00557,EASanc
EASanc_NA18606,EASanc
EASanc_HG02187,EASanc
EASanc_HG00596,EASanc
EASanc_HG00851,EASanc
EASanc_NA18533,EASanc
EASanc_HG02379,EASanc
EASanc_HG01810,EASanc
EASanc_HG00625,EASanc
EASanc_HG01868,EASanc
EASanc_NA18639,EASanc
EASanc_HG01046,EASanc
EASanc_NA19075,EASanc
EASanc_HG01869,EASanc
EASanc_HG02049,EASanc
EASanc_NA18571,EASanc
EASanc_HG00699,EASanc
EASanc_NA19012,EASanc
EASanc_HG02367,EASanc
EASanc_NA19068,EASanc
EASanc_HG00409,EASanc
EASanc_HG00759,EASanc
EASanc_NA18995,EASanc
EASanc_NA18614,EASanc
EASanc_NA18963,EASanc
EASanc_HG00406,EASanc
EASanc_HG02028,EASanc
EASanc_NA19067,EASanc
EASanc_HG01842,EASanc
EASanc_NA19085,EASanc
EASanc_NA18616,EASanc
EASanc_HG02127,EASanc
EASanc_NA18984,EASanc
EASanc_NA18605,EASanc
EASanc_NA18990,EASanc
EASanc_HG02138,EASanc
EASanc_NA18740,EASanc
AFRanc_HG03469,AFRanc
AFRanc_HG03049,AFRanc
AFRanc_HG03572,AFRanc
AFRanc_HG03556,AFRanc
AFRanc_HG02852,AFRanc
AFRanc_HG03109,AFRanc
AFRanc_HG03157,AFRanc
AFRanc_HG03117,AFRanc
AFRanc_HG03291,AFRanc
AFRanc_HG03175,AFRanc
AFRanc_HG03451,AFRanc
AFRanc_NA19347,AFRanc
AFRanc_HG03193,AFRanc
AFRanc_NA19096,AFRanc
AFRanc_HG03473,AFRanc
AFRanc_HG02703,AFRanc
AFRanc_HG03115,AFRanc
AFRanc_HG02839,AFRanc
AFRanc_HG03294,AFRanc
AFRanc_NA18878,AFRanc
AFRanc_NA18853,AFRanc
AFRanc_HG02976,AFRanc
AFRanc_NA19207,AFRanc
AFRanc_NA19117,AFRanc
AFRanc_NA19144,AFRanc
AFRanc_HG02879,AFRanc
AFRanc_HG02594,AFRanc
AFRanc_HG02952,AFRanc
AFRanc_HG02974,AFRanc
AFRanc_NA19206,AFRanc
AFRanc_HG01896,AFRanc
AFRanc_HG02887,AFRanc
AFRanc_HG03190,AFRanc
AFRanc_NA19138,AFRanc
AFRanc_HG03084,AFRanc
AFRanc_HG01890,AFRanc
AFRanc_HG03455,AFRanc
AFRanc_HG03061,AFRanc
AFRanc_HG02896,AFRanc
AFRanc_HG03241,AFRanc
AFRanc_NA19331,AFRanc
AFRanc_HG02549,AFRanc
AFRanc_HG03270,AFRanc
AFRanc_NA19129,AFRanc
AFRanc_NA19185,AFRanc
AFRanc_HG02419,AFRanc
AFRanc_NA19393,AFRanc
AFRanc_NA18519,AFRanc
AFRanc_HG03352,AFRanc
AFRanc_HG02589,AFRanc
AFRanc_HG02571,AFRanc
AFRanc_NA18505,AFRanc
AFRanc_HG03563,AFRanc
AFRanc_HG02771,AFRanc
AFRanc_HG03169,AFRanc
AFRanc_HG03565,AFRanc
AFRanc_NA18907,AFRanc
AFRanc_HG03478,AFRanc
AFRanc_HG02970,AFRanc
AFRanc_HG03111,AFRanc
AFRanc_HG02317,AFRanc
AFRanc_NA19190,AFRanc
AFRanc_HG03166,AFRanc
AFRanc_HG03024,AFRanc
AFRanc_HG03268,AFRanc
AFRanc_HG03099,AFRanc
AFRanc_HG03517,AFRanc
AFRanc_NA18517,AFRanc
AFRanc_NA19201,AFRanc
AFRanc_HG03521,AFRanc
AFRanc_NA18923,AFRanc
AFRanc_NA19200,AFRanc
AFRanc_HG02471,AFRanc
AFRanc_HG01958,AFRanc
AFRanc_HG02676,AFRanc
AFRanc_HG03577,AFRanc
AFRanc_NA18871,AFRanc
AFRanc_HG03079,AFRanc
AFRanc_NA19209,AFRanc
AFRanc_NA19116,AFRanc
AFRanc_HG03097,AFRanc
AFRanc_HG02722,AFRanc
AFRanc_HG03380,AFRanc
AFRanc_NA19160,AFRanc
AFRanc_HG03547,AFRanc
AFRanc_HG03058,AFRanc
AFRanc_HG02577,AFRanc
AFRanc_NA19102,AFRanc
AFRanc_HG03048,AFRanc
AFRanc_HG03209,AFRanc
AFRanc_HG03189,AFRanc
AFRanc_NA19320,AFRanc
AFRanc_HG02968,AFRanc
AFRanc_HG02884,AFRanc
AFRanc_HG03372,AFRanc
AFRanc_NA18489,AFRanc
AFRanc_HG03160,AFRanc
AFRanc_HG03445,AFRanc
AFRanc_NA20291,AFRanc
AFRanc_HG03515,AFRanc
AFRanc_HG02946,AFRanc
AFRanc_HG03198,AFRanc
AFRanc_NA20339,AFRanc
AFRanc_NA19904,AFRanc
AFRanc_HG02819,AFRanc
AFRanc_NA19334,AFRanc
AFRanc_HG02854,AFRanc
AFRanc_HG02585,AFRanc
AFRanc_NA18510,AFRanc
AFRanc_HG03297,AFRanc
AFRanc_NA18933,AFRanc
AFRanc_HG03139,AFRanc
AFRanc_NA19704,AFRanc
AFRanc_NA19378,AFRanc
AFRanc_HG03108,AFRanc
AFRanc_NA18915,AFRanc
AFRanc_NA19184,AFRanc
AFRanc_HG02588,AFRanc
AFRanc_HG03077,AFRanc
AFRanc_HG03267,AFRanc
AFRanc_NA19225,AFRanc
AFRanc_HG03464,AFRanc
AFRanc_HG02861,AFRanc
AFRanc_NA19024,AFRanc
AFRanc_NA19114,AFRanc
AFRanc_HG03449,AFRanc
AFRanc_HG02332,AFRanc
AFRanc_NA18879,AFRanc
AFRanc_HG03461,AFRanc
AFRanc_NA19113,AFRanc
AFRanc_NA19119,AFRanc
AFRanc_HG03074,AFRanc
AFRanc_NA19401,AFRanc
AFRanc_HG03363,AFRanc
AFRanc_NA19204,AFRanc
AFRanc_NA18934,AFRanc
AFRanc_NA18523,AFRanc
AFRanc_NA18499,AFRanc
AFRanc_HG03258,AFRanc
AFRanc_NA18876,AFRanc
AFRanc_HG03121,AFRanc
AFRanc_NA19143,AFRanc
AFRanc_NA19308,AFRanc
AFRanc_HG02464,AFRanc
AFRanc_HG03433,AFRanc
AFRanc_NA19146,AFRanc
AFRanc_HG03342,AFRanc
AFRanc_HG03369,AFRanc
AFRanc_NA18867,AFRanc
AFRanc_HG02807,AFRanc
AFRanc_HG03378,AFRanc
AFRanc_HG02442,AFRanc
AFRanc_NA18868,AFRanc
AFRanc_HG03123,AFRanc
AFRanc_HG03078,AFRanc
AFRanc_NA19214,AFRanc
AFRanc_NA18501,AFRanc
AFRanc_HG03460,AFRanc
AFRanc_HG03060,AFRanc
AFRanc_NA19222,AFRanc
AFRanc_HG03300,AFRanc
AFRanc_HG03086,AFRanc
AFRanc_HG02675,AFRanc
AFRanc_NA18522,AFRanc
AFRanc_NA19473,AFRanc
AFRanc_HG02922,AFRanc
AFRanc_HG02111,AFRanc
AFRanc_NA19098,AFRanc
AFRanc_HG03196,AFRanc
AFRanc_NA19239,AFRanc
AFRanc_NA19093,AFRanc
AFRanc_HG02582,AFRanc
AFRanc_NA19121,AFRanc
AFRanc_HG02323,AFRanc
AFRanc_NA19391,AFRanc
